id,source_system,source_instance_id,external_deal_id,unit_id,status,source_status,reserved_at,sold_at,lost_at,source_revision,source_updated_at,deleted_at,created_at,updated_at
a42e1656-92d2-59d6-a2d2-4b91539d3518,synthetic_csv,synthetic-csv-v1,syn1-D-000001,99d0fa9a-05a9-58eb-b7fe-c4b92dcde556,sold,sold,2026-08-03T00:00:00Z,2026-08-15T00:00:00Z,\N,2,2026-07-29T00:00:00Z,\N,2026-07-16T00:00:00Z,2026-07-29T00:00:00Z
fbdf484f-78f7-5ab7-b697-56e7e8312781,synthetic_csv,synthetic-csv-v1,syn1-D-000002,4001e989-17c5-56cb-a795-1bc32d17c14d,sold,sold,2026-07-31T00:00:00Z,2026-08-12T00:00:00Z,\N,2,2026-07-29T00:00:00Z,\N,2026-07-13T00:00:00Z,2026-07-29T00:00:00Z
0a1fd5dc-4d12-5fb7-b856-27e9e90bd816,synthetic_csv,synthetic-csv-v1,syn1-D-000003,f06ea21d-9079-5536-981a-9985f505519f,sold,sold,2026-07-28T00:00:00Z,2026-08-09T00:00:00Z,\N,2,2026-07-29T00:00:00Z,\N,2026-07-10T00:00:00Z,2026-07-29T00:00:00Z
51aa999a-f0b4-55b3-9178-ced359aad786,synthetic_csv,synthetic-csv-v1,syn1-D-000004,60d41c2a-ba1f-58f7-97c4-a2349ca3b04f,sold,sold,2026-07-25T00:00:00Z,2026-08-06T00:00:00Z,\N,2,2026-07-29T00:00:00Z,\N,2026-07-07T00:00:00Z,2026-07-29T00:00:00Z
74ea12f2-82c1-5ac8-8bf8-ccdb10db3ad5,synthetic_csv,synthetic-csv-v1,syn1-D-000005,3ce5ad94-2cd9-56c9-a7b2-e14d99a024ab,sold,sold,2026-07-22T00:00:00Z,2026-08-03T00:00:00Z,\N,2,2026-07-29T00:00:00Z,\N,2026-07-04T00:00:00Z,2026-07-29T00:00:00Z
eacad950-bdcd-584d-afe0-cd19e71e96fa,synthetic_csv,synthetic-csv-v1,syn1-D-000006,2e0f43a9-d9bb-5934-bb70-5034ff6a8402,sold,sold,2026-07-19T00:00:00Z,2026-07-31T00:00:00Z,\N,2,2026-07-29T00:00:00Z,\N,2026-07-01T00:00:00Z,2026-07-29T00:00:00Z
3e7bf4a7-ecd3-5ac0-be01-bee484c35fbe,synthetic_csv,synthetic-csv-v1,syn1-D-000007,0ecaf8cd-a554-5046-b973-887f8e27cc5a,sold,sold,2026-07-16T00:00:00Z,2026-07-28T00:00:00Z,\N,2,2026-07-29T00:00:00Z,\N,2026-06-28T00:00:00Z,2026-07-29T00:00:00Z
90d5585f-875d-52de-a9e0-3f0b8313fe7b,synthetic_csv,synthetic-csv-v1,syn1-D-000008,e89276c1-70e0-5801-a967-9d39f602f735,sold,sold,2026-07-13T00:00:00Z,2026-07-25T00:00:00Z,\N,2,2026-07-29T00:00:00Z,\N,2026-06-25T00:00:00Z,2026-07-29T00:00:00Z
d898628b-4c69-5bd6-917b-41956486666d,synthetic_csv,synthetic-csv-v1,syn1-D-000009,ca993117-4b96-5e14-a653-d13d96c2fb38,sold,sold,2026-07-10T00:00:00Z,2026-07-22T00:00:00Z,\N,2,2026-07-29T00:00:00Z,\N,2026-06-22T00:00:00Z,2026-07-29T00:00:00Z
185a7e93-b588-5a1f-b678-625fbbcb4127,synthetic_csv,synthetic-csv-v1,syn1-D-000010,5c7d9d66-e998-50ee-a4aa-540ff251cf6f,sold,sold,2026-07-02T00:00:00Z,2026-07-14T00:00:00Z,\N,2,2026-07-29T00:00:00Z,\N,2026-06-14T00:00:00Z,2026-07-29T00:00:00Z
