id,area_id,file_id,sold_date,units_sold,external_record_id,source_row_hash,created_at,source_updated_at
6a6f893e-47dd-5373-bcd8-28a69dab209a,d1c16841-dee0-58bc-aa62-67fd335b971f,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-05-26,1,syn1-SR-A-005-00,07fda094b85b06135ab97527d621c66b9de64471ffde05075892831efedf3264,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
bea51501-b2dd-5b03-9118-26397a32de56,d1c16841-dee0-58bc-aa62-67fd335b971f,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-06-02,3,syn1-SR-A-005-01,11a3effafef3c1d001dd31a63cc54848c37406d9c2e97319f4457b9a98966b42,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
12a03367-ee76-5c89-92f8-7dde3c0d883c,d1c16841-dee0-58bc-aa62-67fd335b971f,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-06-09,1,syn1-SR-A-005-02,1350669f45da72df37ddecf517e0ccc5a6478e144f0e22a8dcf103e4ce1ec632,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
c6e4b204-ec9c-5a2d-b84c-a575714726ff,d1c16841-dee0-58bc-aa62-67fd335b971f,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-06-16,1,syn1-SR-A-005-03,11ec7aac60217f30b1166388b06627e21db13345df1ddb8669b9f136bdf6dc82,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
c1d116f8-12e4-5d3e-a64f-ef6872d793a2,d1c16841-dee0-58bc-aa62-67fd335b971f,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-06-23,4,syn1-SR-A-005-04,6301fd0148cfb0b3cd0a228ff0d619d9b8fa6424846022ba44475e26e83fd2d2,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
359eb0ca-1517-56a0-8954-43ed146d1731,d1c16841-dee0-58bc-aa62-67fd335b971f,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-06-30,2,syn1-SR-A-005-05,6a000499163fb75c371c6dfbc4031c27df91136efa8e40850ae7ab196bf98423,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
67d60a84-99ab-50be-8d18-7ef6d870e371,d1c16841-dee0-58bc-aa62-67fd335b971f,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-07-07,1,syn1-SR-A-005-06,b6a7f841aea0bdae37b956addd9514a36f0599ee6f6b44c7de950e5aaf28b3ec,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
8d209556-85dd-58f9-8b87-d67fe9bc2202,d1c16841-dee0-58bc-aa62-67fd335b971f,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-07-14,2,syn1-SR-A-005-07,8b90b31fb253da57220dc608d227dc0a0528e1f4e57cc6f9e9c777b8d0133a4a,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
33584059-f68e-5108-b257-3e7b5007a108,d1c16841-dee0-58bc-aa62-67fd335b971f,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-07-21,3,syn1-SR-A-005-08,079ae02dcb212839eb644e5c2ae742c0b78c56e74b0d0948715deb4eb8df0ad1,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
fcd2ae45-7a80-5b54-b499-fb4c413a9262,d1c16841-dee0-58bc-aa62-67fd335b971f,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-07-28,1,syn1-SR-A-005-09,f300c7aecf4f9631f686b1f7a17643f0188bbaa892cea619d8bdc262de00cc2f,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
2725646a-3084-536a-95f9-97fd9ff41c6e,d1c16841-dee0-58bc-aa62-67fd335b971f,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-08-04,4,syn1-SR-A-005-10,29b657cecaf9ca8c537b113e49f36101451e31e9d8ec32bc31fa525bf4c8b70c,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
daa58208-e6e2-53c7-a9af-d94c628d626e,d1c16841-dee0-58bc-aa62-67fd335b971f,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-08-11,3,syn1-SR-A-005-11,ac3231c8e0ffc8566c8d7e2b16712f5b33b674cc2dcd6c498e1ab7d32017e638,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
9e301c58-4bc7-5203-aa8e-29000f206f60,992af92a-c20b-56be-bce2-001f0c1968e6,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-05-26,1,syn1-SR-A-006-00,18f54fd5c0b96dd5fc25222ba59dd2f4fdfa4e1b7600b6b718d084e73cfbac93,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
994b83d6-fac4-5e51-a5f9-deb73a10fdb5,992af92a-c20b-56be-bce2-001f0c1968e6,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-06-02,2,syn1-SR-A-006-01,e4210dd72f26ef8be61c68478cea12a200df8bfd8185c6bae54fb81d2a173777,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
9ad08f5e-00ba-5896-80c6-48a91123b68e,992af92a-c20b-56be-bce2-001f0c1968e6,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-06-09,3,syn1-SR-A-006-02,37ecfd0b5d71a8e12b5f8ba40ce098affa5370b4840ad927834e12dfeaa318bc,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
556d0565-6638-528e-9c9d-8402300b5f77,992af92a-c20b-56be-bce2-001f0c1968e6,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-06-16,1,syn1-SR-A-006-03,ca180d705d2891fa6e7c901fb4aea0ce69131b52e2772ab71669ce9b2ab9d905,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
bb67e5d9-fdbb-5e10-8a23-7c9deaaf0567,992af92a-c20b-56be-bce2-001f0c1968e6,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-06-23,2,syn1-SR-A-006-04,91d1ab4c5564db7780920ecda66daf263b9875a2755e08354cb42922bd2fd599,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
01568948-1fe7-52bd-80bb-36626b4539ab,992af92a-c20b-56be-bce2-001f0c1968e6,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-06-30,1,syn1-SR-A-006-05,3279fd1db06c0c9b7eddec6ed7285f1761ac89447c48157602e60e3e7b227cd6,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
11acbc3f-276e-59ca-9f8b-e89cc86a0942,992af92a-c20b-56be-bce2-001f0c1968e6,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-07-07,1,syn1-SR-A-006-06,eae9ed7887fb5a6e783565c574a0d13016ffed34297b2706690cfc174c9274a3,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
825e3ac4-11b1-521a-bf75-8c5660ee5f1d,992af92a-c20b-56be-bce2-001f0c1968e6,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-07-14,1,syn1-SR-A-006-07,ee84d49978c7b1a56b178379a858069279ad69a5d3f7d9b2e9bcd1286a040438,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
a60c8535-f32b-55e9-8c11-3132b4f0db8a,992af92a-c20b-56be-bce2-001f0c1968e6,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-07-21,3,syn1-SR-A-006-08,36a6763799e5b16405cbac3c7de3a911c76a98de5f23c8bda48b5ff692ff79a6,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
5d17357c-c88b-590a-a8a9-ed04baae6ad8,992af92a-c20b-56be-bce2-001f0c1968e6,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-07-28,1,syn1-SR-A-006-09,6c162cdc3297bf79ed008db3caf7198690ddb6c1cc560e4b82ef3174598cec4b,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
54588d8c-226a-5d9c-980e-9b8ffe015813,992af92a-c20b-56be-bce2-001f0c1968e6,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-08-04,4,syn1-SR-A-006-10,94ceb8c9f4d06a51e5a414f0fca69fdda239f9ab31806bec0756a83536bea8c0,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
08c71a50-d3e3-5b66-a135-232ba14a55aa,992af92a-c20b-56be-bce2-001f0c1968e6,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-08-11,1,syn1-SR-A-006-11,815378e61ae99fc8f8ff670cfae402d03bb0bc416e034e714175b0698922ec1d,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
6dc6f08f-52c3-5d71-bb34-1fd91783b4bc,aabfb001-73bc-592e-833b-3eab1b0f7220,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-05-26,1,syn1-SR-A-007-00,c6d750197d72321092b0e3393abefcb32191b19abc03ce8d79ae29de034a0611,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
56e0fc40-7132-57ec-a1f5-11b8b15e12a1,aabfb001-73bc-592e-833b-3eab1b0f7220,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-06-02,1,syn1-SR-A-007-01,9dc569dc68b42b0e92f3100f7e1e27ac7c06c6b08cc2286274c32b4d58b63a34,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
6cc9d04f-df31-5b48-9b6e-2668f9da06c9,aabfb001-73bc-592e-833b-3eab1b0f7220,5a1385fa-5102-50d4-8ea4-115200ffeeca,2026-06-09,2,syn1-SR-A-007-02,b6b2a2f70601e2e7c3d76790c3290e542f1b3ff6898ed9341dd5fd56f53a6a14,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
