id,area_id,file_id,snapshot_date,units_remaining,snapshot_type,source_row_hash,created_at,source_updated_at
99e072a7-68e3-5fc6-903c-ce8217e52184,d1c16841-dee0-58bc-aa62-67fd335b971f,8a54073e-184c-59e4-b228-d5da53c1436a,2026-05-26,99,closing,16c511e80b424666b61f746708cd98b246b18335e4b4b6d336cd9a6a9151fe9e,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
14df4e71-b95f-5960-9ecb-7292af9de4ca,d1c16841-dee0-58bc-aa62-67fd335b971f,8a54073e-184c-59e4-b228-d5da53c1436a,2026-06-02,96,closing,cac5505344e9aa69f80d1efc87e799cdc34bbaebf0535ee6164a30818a9226a5,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
dd137905-99a7-5e8d-90f5-987b80ce339a,d1c16841-dee0-58bc-aa62-67fd335b971f,8a54073e-184c-59e4-b228-d5da53c1436a,2026-06-09,95,closing,9ef8868d1c52d973604ca758904fae1a90a90fced853f6d46c34a725f0adde89,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
4a679b2f-9b6a-5008-9ddc-7f1edd7b2795,d1c16841-dee0-58bc-aa62-67fd335b971f,8a54073e-184c-59e4-b228-d5da53c1436a,2026-06-16,94,closing,4422744673aeb5034753a8e22f5e6bcf010c300b2bd473d62b8d6f7b099c71eb,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
03bc4b6b-1d09-5ae0-a952-9178115400f8,d1c16841-dee0-58bc-aa62-67fd335b971f,8a54073e-184c-59e4-b228-d5da53c1436a,2026-06-23,90,closing,9934478991b38fcb8620e41a762abed1b0247fe192467c826575bf4fafa7bddb,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
c26954d6-c76f-59ed-a515-cea1bab9602a,d1c16841-dee0-58bc-aa62-67fd335b971f,8a54073e-184c-59e4-b228-d5da53c1436a,2026-06-30,88,closing,135ee6e7d00bdb1b3409cbb7f74f5df0a011b9a50e91501705f5512ce67655bd,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
867dbe4d-e387-5ee5-aeb7-d29975817270,d1c16841-dee0-58bc-aa62-67fd335b971f,8a54073e-184c-59e4-b228-d5da53c1436a,2026-07-07,87,closing,47d1775b173a7745f3837e3ce330bd4ac9e43b5e327509e77203915a59f0881a,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
c78a4387-5e98-5a07-ae3c-cee2420220fb,d1c16841-dee0-58bc-aa62-67fd335b971f,8a54073e-184c-59e4-b228-d5da53c1436a,2026-07-14,85,closing,da4627f3c382aa704a75f8060fe0c9c009793fa5c51606edadbb6ef6e31ecf57,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
b3fee31d-3660-57bf-bdbf-7232e0ddd916,d1c16841-dee0-58bc-aa62-67fd335b971f,8a54073e-184c-59e4-b228-d5da53c1436a,2026-07-21,82,closing,785723b53c8949b55bd1725ab111d766af20269fa9e9ef993e7d225566040691,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
d47723ea-05bf-55b0-91fb-0004ff1e31fc,d1c16841-dee0-58bc-aa62-67fd335b971f,8a54073e-184c-59e4-b228-d5da53c1436a,2026-07-28,81,closing,0f2094edb47fdc384f1eb3bb0779d37cc93f1536d0f2f8448ae553356d46a30c,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
05e0b8ff-18a3-5c38-aa8c-d39ed4f6255b,d1c16841-dee0-58bc-aa62-67fd335b971f,8a54073e-184c-59e4-b228-d5da53c1436a,2026-08-04,77,closing,14093cf2dc3e92bb1f2f43a6d2dd9bf4cb19f6b484068a83b79f9299d770d200,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
1cfd3e4e-f02d-58dc-97be-7ddf7da7fb79,d1c16841-dee0-58bc-aa62-67fd335b971f,8a54073e-184c-59e4-b228-d5da53c1436a,2026-08-11,74,closing,f1eed31550b480e95e73286d251a19d5c54acd0c5c14f5f23725d926c29c7b32,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
826090d3-719c-5d92-ba95-8f57b54790d6,992af92a-c20b-56be-bce2-001f0c1968e6,8a54073e-184c-59e4-b228-d5da53c1436a,2026-05-26,69,closing,fee579e7b18884a2766fb126889a1a54091d3b54bfd425fed7edd7bf00affce8,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
c71dffb5-f206-53f4-9f4e-d0ecc8dbb4f1,992af92a-c20b-56be-bce2-001f0c1968e6,8a54073e-184c-59e4-b228-d5da53c1436a,2026-06-02,67,closing,2831fe91cca608e29bcacfcadf987ad619239335060c5213abfeb56340448d4c,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
9149db13-c388-5034-aca8-70747da24be1,992af92a-c20b-56be-bce2-001f0c1968e6,8a54073e-184c-59e4-b228-d5da53c1436a,2026-06-09,64,closing,417cb902ca577ad458aedbc859e313139d71e1a43519d0053beb083f02ea8318,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
5871a976-73f7-5d5c-a8a8-873f8135830b,992af92a-c20b-56be-bce2-001f0c1968e6,8a54073e-184c-59e4-b228-d5da53c1436a,2026-06-16,63,closing,191f2c5f667cb8266f4c551603e7da2698a6e8b29c58351afff0701119d371c3,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
084ce185-df09-5e0a-86fb-555452a819d7,992af92a-c20b-56be-bce2-001f0c1968e6,8a54073e-184c-59e4-b228-d5da53c1436a,2026-06-23,61,closing,8f6faa731865e0b64217713e7870cb05287031e6a219b8ea938994acb4d7599b,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
45742606-38f3-5f5a-a2c5-ebe3eaa781a8,992af92a-c20b-56be-bce2-001f0c1968e6,8a54073e-184c-59e4-b228-d5da53c1436a,2026-06-30,60,closing,def1c2a89e97a0ebbff2eb10c0f407297bf5035187ae7effa024f158ff28a2e5,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
bf5e0c14-79f2-5f9c-9b5a-35e093a576f5,992af92a-c20b-56be-bce2-001f0c1968e6,8a54073e-184c-59e4-b228-d5da53c1436a,2026-07-07,59,closing,a8504d34a7d23b365ba8ad4504cad80c099103298b03822db7975458017d9b01,2026-07-04T00:00:00Z,2026-07-04T00:00:00Z
