unit_external_id,unit_code,absorption_score,rank,score_band,ticket_depth_score,segment_depth_score,price_per_sqm_net_score,loan_premium_score,area_efficiency_score,size_fit_score,floor_band_score,view_score,direction_score,corner_score,contrib__ticket_depth_score,contrib__price_per_sqm_net_score,contrib__loan_premium_score,contrib__segment_depth_score,contrib__size_fit_score,contrib__area_efficiency_score,contrib__floor_band_score,contrib__view_score,contrib__direction_score,contrib__corner_score,contrib__ticket_depth_score,contrib__price_per_sqm_net_score,contrib__loan_premium_score,contrib__segment_depth_score,contrib__size_fit_score,contrib__area_efficiency_score,contrib__floor_band_score,contrib__view_score,contrib__direction_score,contrib__corner_score,subdivision,tower,floor,floor_band,unit_type_normalized,gross_area_sqm,standard_price_vnd
U-0301,B3.33.13,93.88429201339405,1,Very High,100.0,100.0,75.31492490940218,99.99999952454415,76.58220206912509,100.0,100.0,100.0,50.0,70.0,29.042637518142776,10.936720319249549,7.2606593450144645,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,29.042637518142776,10.936720319249549,7.2606593450144645,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,Zenia,B3,33,high,2PN,66.45,3391382394
U-0308,B3.35.13,93.82516511565446,2,Very High,100.0,100.0,74.90775176661532,99.99999969292878,76.58220206912509,100.0,100.0,100.0,50.0,70.0,29.042637518142776,10.87759340928414,7.260659357240299,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,29.042637518142776,10.87759340928414,7.260659357240299,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,Zenia,B3,35,high,2PN,66.45,3400762833
U-0316,B3.37.13,93.76603819156199,3,Very High,100.0,100.0,74.50057862382846,99.99999949835889,76.58220206912509,100.0,100.0,100.0,50.0,70.0,29.042637518142776,10.818466499318731,7.260659343113242,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,29.042637518142776,10.818466499318731,7.260659343113242,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,Zenia,B3,37,high,2PN,66.45,3410143272
U-0323,B3.39.13,93.70691129376057,4,Very High,100.0,100.0,74.0934054810416,99.99999966589154,76.58220206912509,100.0,100.0,100.0,50.0,70.0,29.042637518142776,10.759339589353322,7.260659355277217,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,29.042637518142776,10.759339589353322,7.260659355277217,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,Zenia,B3,39,high,2PN,66.45,3419523711
U-0285,B3.26.13,93.68562865112915,5,Very High,100.0,100.0,75.94379617220076,99.99999948229944,67.64242193844674,100.0,100.0,100.0,50.0,70.0,29.042637518142776,11.028040719904729,7.26065934194722,14.852648953794423,8.501019398526658,2.1941483518088245,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,29.042637518142776,11.028040719904729,7.26065934194722,14.852648953794423,8.501019398526658,2.1941483518088245,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,Zenia,B3,26,high,2PN,66.45,3358550858
U-0302,B3.33.14,93.21166556917368,6,Very High,100.0,100.0,71.90285949857856,99.99999970848462,76.58220206912509,100.0,100.0,94.0,55.0,70.0,29.042637518142776,10.441243424675832,7.260659358369756,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,4.75773112062331,1.3918894235866066,1.1809970866795452,29.042637518142776,10.441243424675832,7.260659358369756,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,4.75773112062331,1.3918894235866066,1.1809970866795452,Zenia,B3,33,high,2PN,66.45,3469989424
U-0293,B3.29.13,93.1809101926908,7,Very High,100.0,100.0,72.16855096072814,99.99999967139252,70.60360234767118,99.38176529771393,100.0,100.0,50.0,70.0,29.042637518142776,10.479825328810211,7.260659355676625,14.852648953794423,8.448463146556897,2.290201522705348,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,29.042637518142776,10.479825328810211,7.260659355676625,14.852648953794423,8.448463146556897,2.290201522705348,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,Zenia,B3,29,high,2PN,66.33,3445052359
U-0309,B3.35.14,93.15253867112189,8,Very High,100.0,100.0,71.4956863557917,99.99999987256913,76.58220206912509,100.0,100.0,94.0,55.0,70.0,29.042637518142776,10.382116514710424,7.260659370283373,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,4.75773112062331,1.3918894235866066,1.1809970866795452,29.042637518142776,10.382116514710424,7.260659370283373,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,4.75773112062331,1.3918894235866066,1.1809970866795452,Zenia,B3,35,high,2PN,66.45,3479369863
U-0296,B3.30.13,93.15123896511486,9,Very High,100.0,100.0,71.96422208707295,99.99999993974744,70.60360234767118,99.38176529771393,100.0,100.0,50.0,70.0,29.042637518142776,10.45015408174992,7.260659375160961,14.852648953794423,8.448463146556897,2.290201522705348,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,29.042637518142776,10.45015408174992,7.260659375160961,14.852648953794423,8.448463146556897,2.290201522705348,13.298707173113144,5.061416085769479,1.2653540214423697,1.1809970866795452,Zenia,B3,30,high,2PN,66.33,3449734109
U-0317,B3.37.14,93.09341174731266,10,Very High,100.0,100.0,71.08851321300484,99.99999968190022,76.58220206912509,100.0,100.0,94.0,55.0,70.0,29.042637518142776,10.322989604745015,7.260659356439553,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,4.75773112062331,1.3918894235866066,1.1809970866795452,29.042637518142776,10.322989604745015,7.260659356439553,14.852648953794423,8.501019398526658,2.484132111661637,13.298707173113144,4.75773112062331,1.3918894235866066,1.1809970866795452,Zenia,B3,37,high,2PN,66.45,3488750302
