deal_id,external_deal_id,unit_id,external_unit_id,unit_code,unit_type,unit_status,area_id,area_external_id,area_name,area_bedrooms,area_sqm,project_id,project_external_id,project_name,deal_status,deal_source_status,funnel_stage,is_funnel,is_qualified_or_beyond,is_viewing,is_holding,is_closed_won,is_closed_lost,reserved_at,sold_at,lost_at,deal_created_at,deal_updated_at,deal_source_updated_at,last_activity_at,deal_deleted_at,is_deleted,source_revision,deals_on_same_unit,days_reserved_to_sold
a42e1656-92d2-59d6-a2d2-4b91539d3518,syn1-D-000001,99d0fa9a-05a9-58eb-b7fe-c4b92dcde556,syn1-U-A-001-001,HC1-001,2BR,sold,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,sold,sold,closed_won,0,1,0,1,1,0,2026-08-03 00:00:00+00:00,2026-08-15 00:00:00+00:00,,2026-07-16 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,,0,2,1,12
fbdf484f-78f7-5ab7-b697-56e7e8312781,syn1-D-000002,4001e989-17c5-56cb-a795-1bc32d17c14d,syn1-U-A-001-002,HC1-002,2BR,sold,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,sold,sold,closed_won,0,1,0,1,1,0,2026-07-31 00:00:00+00:00,2026-08-12 00:00:00+00:00,,2026-07-13 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,,0,2,1,12
0a1fd5dc-4d12-5fb7-b856-27e9e90bd816,syn1-D-000003,f06ea21d-9079-5536-981a-9985f505519f,syn1-U-A-001-003,HC1-003,2BR,sold,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,sold,sold,closed_won,0,1,0,1,1,0,2026-07-28 00:00:00+00:00,2026-08-09 00:00:00+00:00,,2026-07-10 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,,0,2,1,12
51aa999a-f0b4-55b3-9178-ced359aad786,syn1-D-000004,60d41c2a-ba1f-58f7-97c4-a2349ca3b04f,syn1-U-A-001-004,HC1-004,2BR,sold,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,sold,sold,closed_won,0,1,0,1,1,0,2026-07-25 00:00:00+00:00,2026-08-06 00:00:00+00:00,,2026-07-07 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,,0,2,1,12
74ea12f2-82c1-5ac8-8bf8-ccdb10db3ad5,syn1-D-000005,3ce5ad94-2cd9-56c9-a7b2-e14d99a024ab,syn1-U-A-001-005,HC1-005,2BR,sold,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,sold,sold,closed_won,0,1,0,1,1,0,2026-07-22 00:00:00+00:00,2026-08-03 00:00:00+00:00,,2026-07-04 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,,0,2,1,12
eacad950-bdcd-584d-afe0-cd19e71e96fa,syn1-D-000006,2e0f43a9-d9bb-5934-bb70-5034ff6a8402,syn1-U-A-001-006,HC1-006,2BR,sold,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,sold,sold,closed_won,0,1,0,1,1,0,2026-07-19 00:00:00+00:00,2026-07-31 00:00:00+00:00,,2026-07-01 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,,0,2,1,12
3e7bf4a7-ecd3-5ac0-be01-bee484c35fbe,syn1-D-000007,0ecaf8cd-a554-5046-b973-887f8e27cc5a,syn1-U-A-001-007,HC1-007,2BR,sold,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,sold,sold,closed_won,0,1,0,1,1,0,2026-07-16 00:00:00+00:00,2026-07-28 00:00:00+00:00,,2026-06-28 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,,0,2,1,12
90d5585f-875d-52de-a9e0-3f0b8313fe7b,syn1-D-000008,e89276c1-70e0-5801-a967-9d39f602f735,syn1-U-A-001-008,HC1-008,2BR,sold,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,sold,sold,closed_won,0,1,0,1,1,0,2026-07-13 00:00:00+00:00,2026-07-25 00:00:00+00:00,,2026-06-25 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,,0,2,1,12
d898628b-4c69-5bd6-917b-41956486666d,syn1-D-000009,ca993117-4b96-5e14-a653-d13d96c2fb38,syn1-U-A-001-009,HC1-009,2BR,sold,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,sold,sold,closed_won,0,1,0,1,1,0,2026-07-10 00:00:00+00:00,2026-07-22 00:00:00+00:00,,2026-06-22 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,,0,2,1,12
185a7e93-b588-5a1f-b678-625fbbcb4127,syn1-D-000010,5c7d9d66-e998-50ee-a4aa-540ff251cf6f,syn1-U-A-001-010,HC1-010,2BR,sold,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,2,68.50,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,sold,sold,closed_won,0,1,0,1,1,0,2026-07-02 00:00:00+00:00,2026-07-14 00:00:00+00:00,,2026-06-14 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,2026-07-29 00:00:00+00:00,,0,2,1,12
