unit_id,external_unit_id,unit_code,project_id,project_external_id,project_name,area_id,area_external_id,area_name,unit_status,unit_type,area_bedrooms,area_sqm,area_total_units_planned,absorption_calculator,is_available,has_active_deal,deals_total,funnel_deals_total,deals_lead,deals_qualified,deals_interested,deals_viewing,deals_reserved,deals_sold,deals_lost,score,score_percent,band,rank_in_area,rank_in_project,weight_coverage,min_weight_coverage,was_skipped,ranking_config_version,ranking_run_id,ranking_trigger,ranking_computed_at,feature_freshness_at,ranking_run_finished_at,unit_created_at,unit_updated_at,unit_source_updated_at,feat_unit_available_value,feat_unit_available_weight,feat_unit_available_direction,feat_unit_available_contribution,feat_unit_available_source,feat_unit_available_is_missing,feat_unit_demand_norm_value,feat_unit_demand_norm_weight,feat_unit_demand_norm_direction,feat_unit_demand_norm_contribution,feat_unit_demand_norm_source,feat_unit_demand_norm_is_missing,feat_area_velocity_norm_value,feat_area_velocity_norm_weight,feat_area_velocity_norm_direction,feat_area_velocity_norm_contribution,feat_area_velocity_norm_source,feat_area_velocity_norm_is_missing,feat_area_conversion_norm_value,feat_area_conversion_norm_weight,feat_area_conversion_norm_direction,feat_area_conversion_norm_contribution,feat_area_conversion_norm_source,feat_area_conversion_norm_is_missing,features_missing_count,features_total_count
f1221bff-847c-5c29-96f3-d01bac80c376,syn1-U-A-001-018,HC1-018,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,available,2BR,2,68.50,120,domain_units_deals,1,0,5,5,2,1,1,1,0,0,0,0.8622,86.2,high,1,1,1.0000,0.5000,0,2,f4b36522-4970-456d-8ca4-0ddb4fe8f4b9,manual,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.663070+00:00,2025-08-22 00:00:00+00:00,2026-07-19 00:00:00+00:00,2026-07-19 00:00:00+00:00,1,0.35,positive,0.35,resolved,0,1,0.25,positive,0.25,resolved,0,1,0.2,positive,0.2,resolved,0,0.3111111111111111111111111111,0.2,positive,0.06222222222222222222222222222,resolved,0,0,4
6ac2c6b1-02b2-5eee-8b64-03831733da04,syn1-U-A-001-019,HC1-019,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,available,2BR,2,68.50,120,domain_units_deals,1,0,5,4,1,1,1,1,0,0,1,0.8622,86.2,high,2,2,1.0000,0.5000,0,2,f4b36522-4970-456d-8ca4-0ddb4fe8f4b9,manual,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.663070+00:00,2025-08-22 12:00:00+00:00,2026-07-19 00:00:00+00:00,2026-07-19 00:00:00+00:00,1,0.35,positive,0.35,resolved,0,1,0.25,positive,0.25,resolved,0,1,0.2,positive,0.2,resolved,0,0.3111111111111111111111111111,0.2,positive,0.06222222222222222222222222222,resolved,0,0,4
ce5448f7-e1b7-56ed-9a10-b62a61c299d6,syn1-U-A-001-020,HC1-020,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,available,2BR,2,68.50,120,domain_units_deals,1,0,3,3,1,1,1,0,0,0,0,0.8622,86.2,high,3,3,1.0000,0.5000,0,2,f4b36522-4970-456d-8ca4-0ddb4fe8f4b9,manual,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.663070+00:00,2025-08-23 00:00:00+00:00,2026-07-19 00:00:00+00:00,2026-07-19 00:00:00+00:00,1,0.35,positive,0.35,resolved,0,1,0.25,positive,0.25,resolved,0,1,0.2,positive,0.2,resolved,0,0.3111111111111111111111111111,0.2,positive,0.06222222222222222222222222222,resolved,0,0,4
56a5d63d-13ad-5dd3-aad0-509a289e4131,syn1-U-A-001-021,HC1-021,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,available,2BR,2,68.50,120,domain_units_deals,1,0,3,3,1,1,1,0,0,0,0,0.8622,86.2,high,4,4,1.0000,0.5000,0,2,f4b36522-4970-456d-8ca4-0ddb4fe8f4b9,manual,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.663070+00:00,2025-08-23 12:00:00+00:00,2026-07-19 00:00:00+00:00,2026-07-19 00:00:00+00:00,1,0.35,positive,0.35,resolved,0,1,0.25,positive,0.25,resolved,0,1,0.2,positive,0.2,resolved,0,0.3111111111111111111111111111,0.2,positive,0.06222222222222222222222222222,resolved,0,0,4
53c183e8-09c8-5b7b-8617-0716330a3ea7,syn1-U-A-001-022,HC1-022,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,available,2BR,2,68.50,120,domain_units_deals,1,0,4,3,1,1,1,0,0,0,1,0.8622,86.2,high,5,5,1.0000,0.5000,0,2,f4b36522-4970-456d-8ca4-0ddb4fe8f4b9,manual,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.663070+00:00,2025-08-24 00:00:00+00:00,2026-07-19 00:00:00+00:00,2026-07-19 00:00:00+00:00,1,0.35,positive,0.35,resolved,0,1,0.25,positive,0.25,resolved,0,1,0.2,positive,0.2,resolved,0,0.3111111111111111111111111111,0.2,positive,0.06222222222222222222222222222,resolved,0,0,4
05196bea-7e39-52fa-87fa-26ef3acfdb9e,syn1-U-A-001-023,HC1-023,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,available,2BR,2,68.50,120,domain_units_deals,1,0,2,2,1,1,0,0,0,0,0,0.7789,77.9,high,6,6,1.0000,0.5000,0,2,f4b36522-4970-456d-8ca4-0ddb4fe8f4b9,manual,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.663070+00:00,2025-08-24 12:00:00+00:00,2026-07-19 00:00:00+00:00,2026-07-19 00:00:00+00:00,1,0.35,positive,0.35,resolved,0,0.6666666666666666666666666667,0.25,positive,0.1666666666666666666666666667,resolved,0,1,0.2,positive,0.2,resolved,0,0.3111111111111111111111111111,0.2,positive,0.06222222222222222222222222222,resolved,0,0,4
7d081ad3-c5fc-5bc0-8a36-46882204674e,syn1-U-A-001-024,HC1-024,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,available,2BR,2,68.50,120,domain_units_deals,1,0,2,2,1,1,0,0,0,0,0,0.7789,77.9,high,7,7,1.0000,0.5000,0,2,f4b36522-4970-456d-8ca4-0ddb4fe8f4b9,manual,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.663070+00:00,2025-08-25 00:00:00+00:00,2026-07-19 00:00:00+00:00,2026-07-19 00:00:00+00:00,1,0.35,positive,0.35,resolved,0,0.6666666666666666666666666667,0.25,positive,0.1666666666666666666666666667,resolved,0,1,0.2,positive,0.2,resolved,0,0.3111111111111111111111111111,0.2,positive,0.06222222222222222222222222222,resolved,0,0,4
77b12036-607d-5368-b5f4-49906a09c4fc,syn1-U-A-001-025,HC1-025,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,available,2BR,2,68.50,120,domain_units_deals,1,0,2,1,1,0,0,0,0,0,1,0.6956,69.6,high,8,8,1.0000,0.5000,0,2,f4b36522-4970-456d-8ca4-0ddb4fe8f4b9,manual,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.663070+00:00,2025-08-25 12:00:00+00:00,2026-07-19 00:00:00+00:00,2026-07-19 00:00:00+00:00,1,0.35,positive,0.35,resolved,0,0.3333333333333333333333333333,0.25,positive,0.08333333333333333333333333332,resolved,0,1,0.2,positive,0.2,resolved,0,0.3111111111111111111111111111,0.2,positive,0.06222222222222222222222222222,resolved,0,0,4
ddc96666-b1d2-5989-a4f7-9629a2005e86,syn1-U-A-001-026,HC1-026,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,available,2BR,2,68.50,120,domain_units_deals,1,0,1,1,1,0,0,0,0,0,0,0.6956,69.6,high,9,9,1.0000,0.5000,0,2,f4b36522-4970-456d-8ca4-0ddb4fe8f4b9,manual,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.663070+00:00,2025-08-26 00:00:00+00:00,2026-07-19 00:00:00+00:00,2026-07-19 00:00:00+00:00,1,0.35,positive,0.35,resolved,0,0.3333333333333333333333333333,0.25,positive,0.08333333333333333333333333332,resolved,0,1,0.2,positive,0.2,resolved,0,0.3111111111111111111111111111,0.2,positive,0.06222222222222222222222222222,resolved,0,0,4
357191c0-8f53-56dc-8354-5b2acf2ed9b0,syn1-U-A-001-027,HC1-027,a453a5c4-63a5-5872-95b7-a3b4911aa072,syn1-P-001,Harbor Crest Residences,bafde881-f411-5372-9d43-e72f63cd45dd,syn1-A-001,Harbor Crest 1,available,2BR,2,68.50,120,domain_units_deals,1,0,1,1,1,0,0,0,0,0,0,0.6956,69.6,high,10,10,1.0000,0.5000,0,2,f4b36522-4970-456d-8ca4-0ddb4fe8f4b9,manual,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.150408+00:00,2026-08-18 12:00:43.663070+00:00,2025-08-26 12:00:00+00:00,2026-07-19 00:00:00+00:00,2026-07-19 00:00:00+00:00,1,0.35,positive,0.35,resolved,0,0.3333333333333333333333333333,0.25,positive,0.08333333333333333333333333332,resolved,0,1,0.2,positive,0.2,resolved,0,0.3111111111111111111111111111,0.2,positive,0.06222222222222222222222222222,resolved,0,0,4
